"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139","134","28","161","301","200","151","88","73","42","292","79","","","","7","","","","","","","",
"Africa Eastern and Southern","AFE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","1445969","","","","","","","","","","","","","","","","","","","1979198","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","602636","651442","","","","","","","","","","","","","","","1025431","","","","","","","","","","655870","728219","730775","773837","","","","","","","","","","",
"Albania","ALB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8857","12550","16338","","20987","22233","","","","23142","32820","29727","24907","16471","9113","4527","3929","3988","3628","4085","3359","6221","",
"Andorra","AND","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","9497048","9734062","9678730","9678492","9762390","9685661","9521858","9557468","9641930","9462718","9369375","9466805","9547150","9578519","9436991","9491768","9427073","9307003","9298306","9519516","9297761","9469939","10640581","10705839","10077728","10563245","9866551","9799453","9780804","9209765","8919689","8529021","8212020","7853625","7694676","7746581","7756658","7293994","6940468","6800937","6389970","6612852","6635164","7112736","7478493","7509429","7567118","7438706","7131083","7309432","7436768","",
"United Arab Emirates","ARE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","13930","","20965","26832","24417","32560","35802","39589","42155","26171","21435","13381","6211","5461","13541","22792","28999","28870","37100","48497","49441","","","","","","","","","15447","","","","","21919","25610","9333","446","2574","5636","","1054","947","",
"Argentina","ARG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","155902","","","","112599","123603","","","","","","","","","","","","207552","","","","176958","","","","","","0","11114","6971","18285","15555","14023","14410","27193","18656","11212","5382","7668","8719","25533","24042","24382","17457","4205","2420","19510","18743","17573","18518","","",
"Armenia","ARM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20971","22092","","14931","9441","3288","","","","6728","5023","4874","8641","7779","9460","9961","11426","14928","17789","",
"American Samoa","ASM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","66","196","368","170","431","","534","117","","235","66","","","",
"Australia","AUS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","52435","","73700","83077","41062","25468","346","241","354","709","1464","14124","29032","55753","53707","42944","34723","25155","23833","30144","39520","43555","50321","55241","90586","83683","92003","94207","102095","104354","32273","31396","47806","39973","25452","21617","18579","16931","13008","9666","44871","39575","1212","1742","1861","955","7031","9614","15542","33364","",
"Austria","AUT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","46574","51192","58466","62892","63685","65508","","","","","","","","","","","","","19512","","","","","","","","","","429","1024","4843","12977","14524","12779","10103","9370","8872","9671","8421","7641","9350","5423","3318","2102","1512","663","149","143","187","","",
"Azerbaijan","AZE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17399","18109","42450","85323","81334","47885","74182","85221","34837","61173","79138","79899","88738","78125","77428","73286","71283","70361","61748","64067","49999","38511","8544","3638","5980","4338","12166","24803","55687","71122","",
"Burundi","BDI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","476019","","","","","508878","","512216","504932","491459","461965","443483","429049","427585","407908","406018","","","","","502921","","","","","","","711510","613304","628206","591170","576181","539608","328138","234798","98466","122209","59818","","","","","","","74286","114262","140973","","202203",
"Belgium","BEL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","32578","","20083","15282","24086","22972","47105","51457","53634","42100","31412","22395","","","24862","35285","16834","21406","21204","17914","","","426","0","167","1945","8883","20386","22833","20022","13081","8603","9716","11467","10445","8491","8887","9806","7403","5451","2164","4131","7160","","",
"Benin","BEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","333568","339598","363924","","393436","403289","493668","","442263","422018","425142","416016","406352","385559","","","","","","190242","156091","212337","176619","","139539","83737","75552","77060","67812","","59910","","","52739","50858","120970","128583","",
